day_of_week,day_name,hour,courses_moyennes
1,Lundi,0,3031.0
1,Lundi,1,1728.0
1,Lundi,2,1131.0
1,Lundi,3,818.0
1,Lundi,4,1114.0
1,Lundi,5,2582.0
1,Lundi,6,6930.0
1,Lundi,7,12070.0
1,Lundi,8,14390.0
1,Lundi,9,12859.0
1,Lundi,10,11462.0
1,Lundi,11,11168.0
1,Lundi,12,11808.0
1,Lundi,13,11871.0
1,Lundi,14,12985.0
1,Lundi,15,14046.0
1,Lundi,16,12840.0
1,Lundi,17,14938.0
1,Lundi,18,16527.0
1,Lundi,19,15001.0
1,Lundi,20,13276.0
1,Lundi,21,11922.0
1,Lundi,22,9452.0
1,Lundi,23,6258.0
2,Mardi,0,3523.0
2,Mardi,1,1969.0
2,Mardi,2,1139.0
2,Mardi,3,831.0
2,Mardi,4,1046.0
2,Mardi,5,2515.0
2,Mardi,6,7050.0
2,Mardi,7,12748.0
2,Mardi,8,15367.0
2,Mardi,9,13723.0
2,Mardi,10,12165.0
2,Mardi,11,11955.0
2,Mardi,12,12540.0
2,Mardi,13,12394.0
2,Mardi,14,13639.0
2,Mardi,15,14293.0
2,Mardi,16,12977.0
2,Mardi,17,15124.0
2,Mardi,18,17433.0
2,Mardi,19,15916.0
2,Mardi,20,14585.0
2,Mardi,21,14308.0
2,Mardi,22,11469.0
2,Mardi,23,7620.0
3,Mercredi,0,4036.0
3,Mercredi,1,2146.0
3,Mercredi,2,1336.0
3,Mercredi,3,975.0
3,Mercredi,4,1097.0
3,Mercredi,5,2489.0
3,Mercredi,6,6801.0
3,Mercredi,7,11975.0
3,Mercredi,8,14202.0
3,Mercredi,9,12907.0
3,Mercredi,10,11725.0
3,Mercredi,11,11947.0
3,Mercredi,12,12604.0
3,Mercredi,13,12550.0
3,Mercredi,14,13608.0
3,Mercredi,15,14182.0
3,Mercredi,16,12713.0
3,Mercredi,17,14777.0
3,Mercredi,18,17057.0
3,Mercredi,19,15879.0
3,Mercredi,20,14813.0
3,Mercredi,21,14415.0
3,Mercredi,22,12347.0
3,Mercredi,23,8073.0
4,Jeudi,0,4793.0
4,Jeudi,1,2622.0
4,Jeudi,2,1599.0
4,Jeudi,3,1138.0
4,Jeudi,4,1212.0
4,Jeudi,5,2588.0
4,Jeudi,6,7146.0
4,Jeudi,7,12704.0
4,Jeudi,8,14965.0
4,Jeudi,9,13564.0
4,Jeudi,10,12405.0
4,Jeudi,11,12447.0
4,Jeudi,12,12859.0
4,Jeudi,13,13011.0
4,Jeudi,14,14416.0
4,Jeudi,15,14901.0
4,Jeudi,16,13494.0
4,Jeudi,17,15825.0
4,Jeudi,18,17993.0
4,Jeudi,19,16794.0
4,Jeudi,20,15756.0
4,Jeudi,21,15960.0
4,Jeudi,22,14048.0
4,Jeudi,23,10092.0
5,Vendredi,0,6535.0
5,Vendredi,1,3945.0
5,Vendredi,2,2400.0
5,Vendredi,3,1629.0
5,Vendredi,4,1565.0
5,Vendredi,5,2605.0
5,Vendredi,6,6657.0
5,Vendredi,7,11573.0
5,Vendredi,8,14006.0
5,Vendredi,9,12780.0
5,Vendredi,10,11861.0
5,Vendredi,11,11913.0
5,Vendredi,12,12719.0
5,Vendredi,13,13010.0
5,Vendredi,14,14474.0
5,Vendredi,15,14622.0
5,Vendredi,16,13635.0
5,Vendredi,17,15805.0
5,Vendredi,18,18038.0
5,Vendredi,19,17233.0
5,Vendredi,20,14471.0
5,Vendredi,21,13852.0
5,Vendredi,22,14240.0
5,Vendredi,23,12992.0
6,Samedi,0,10898.0
6,Samedi,1,8790.0
6,Samedi,2,6848.0
6,Samedi,3,4682.0
6,Samedi,4,3015.0
6,Samedi,5,1686.0
6,Samedi,6,2660.0
6,Samedi,7,4085.0
6,Samedi,8,6392.0
6,Samedi,9,9250.0
6,Samedi,10,11291.0
6,Samedi,11,12515.0
6,Samedi,12,13636.0
6,Samedi,13,13650.0
6,Samedi,14,13227.0
6,Samedi,15,14383.0
6,Samedi,16,13848.0
6,Samedi,17,14156.0
6,Samedi,18,14947.0
6,Samedi,19,14648.0
6,Samedi,20,12131.0
6,Samedi,21,12163.0
6,Samedi,22,12974.0
6,Samedi,23,12773.0
7,Dimanche,0,11418.0
7,Dimanche,1,9699.0
7,Dimanche,2,7818.0
7,Dimanche,3,5486.0
7,Dimanche,4,3224.0
7,Dimanche,5,1480.0
7,Dimanche,6,1991.0
7,Dimanche,7,3188.0
7,Dimanche,8,4870.0
7,Dimanche,9,6991.0
7,Dimanche,10,9711.0
7,Dimanche,11,11169.0
7,Dimanche,12,12384.0
7,Dimanche,13,12481.0
7,Dimanche,14,12867.0
7,Dimanche,15,12995.0
7,Dimanche,16,12752.0
7,Dimanche,17,12891.0
7,Dimanche,18,12652.0
7,Dimanche,19,10777.0
7,Dimanche,20,9356.0
7,Dimanche,21,8551.0
7,Dimanche,22,7875.0
7,Dimanche,23,5367.0
