hour,nb_courses,revenu_par_minute_usd,vitesse_moyenne_mph,panier_moyen_usd
0,201234,1.36,16.8,16.47
1,144565,1.35,16.5,15.57
2,105646,1.35,16.5,15.02
3,75044,1.4,17.8,15.6
4,58265,1.53,21.0,18.06
5,71080,1.66,23.0,18.95
6,169989,1.38,17.8,15.19
7,293380,1.18,13.5,14.64
8,361552,1.08,11.1,14.68
9,354471,1.08,10.9,14.73
10,349947,1.1,11.4,14.73
11,363613,1.09,11.2,14.43
12,387954,1.12,11.8,14.64
13,390219,1.14,12.4,15.06
14,417807,1.12,12.2,15.38
15,436024,1.09,11.7,15.33
16,404378,1.16,12.1,16.44
17,452296,1.13,11.4,15.76
18,499661,1.17,11.7,15.23
19,461685,1.25,13.1,15.26
20,411197,1.28,14.5,15.55
21,398382,1.3,15.2,16.07
22,358853,1.31,15.5,16.27
23,273570,1.35,16.5,16.54
