step,category,reason,nb_trips,pct_du_brut
1. Ingestion (Bronze),Entrée,Courses brutes ingérées,7667792,100.0
2. Nettoyage (Silver),Rejet,Aucun passager,115573,1.51
2. Nettoyage (Silver),Rejet,Distance nulle ou négative,48801,0.64
2. Nettoyage (Silver),Rejet,Tarif nul ou négatif,6585,0.09
2. Nettoyage (Silver),Rejet,Dépose avant prise en charge,6294,0.08
2. Nettoyage (Silver),Rejet,Doublon,23,0.0
3. Contrôle qualité (Gold),Anomalie,Course trop courte (< 1 min),23416,0.31
3. Contrôle qualité (Gold),Anomalie,Durée aberrante (> 3 h),20691,0.27
3. Contrôle qualité (Gold),Anomalie,Vitesse aberrante (> 100 mph),5084,0.07
3. Contrôle qualité (Gold),Anomalie,Hors période analysée,508,0.01
3. Contrôle qualité (Gold),Anomalie,Montant aberrant (> 1 000 $),5,0.0
4. Analyse,Sortie,Courses retenues pour l'analyse,7440812,97.04
